Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Asteroids,2600,1980,Shooter,Atari,4.0,0.26,0.0,0.05,4.31
Boxing,2600,1980,Fighting,Activision,0.72,0.04,0.0,0.01,0.77
Bridge,2600,1980,Misc,Activision,0.25,0.02,0.0,0.0,0.27
Checkers,2600,1980,Misc,Atari,0.22,0.01,0.0,0.0,0.24
Defender,2600,1980,Misc,Atari,0.99,0.05,0.0,0.01,1.05
Freeway,2600,1980,Action,Activision,0.32,0.02,0.0,0.0,0.34
Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0.0,0.01,0.49
Kaboom!,2600,1980,Misc,Activision,1.07,0.07,0.0,0.01,1.15
Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0.0,0.03,2.76
Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67
Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0.0,0.01,0.77
Airlock,2600,1981,Action,Data Age,0.36,0.02,0.0,0.0,0.39
Alien,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79
Armor Ambush,2600,1981,Action,Mattel Interactive,0.15,0.01,0.0,0.0,0.17
Astroblast,2600,1981,Action,Mattel Interactive,0.29,0.02,0.0,0.0,0.31
Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27
Barnstorming,2600,1981,Action,Activision,0.4,0.02,0.0,0.0,0.43
Berzerk,2600,1981,Shooter,Atari,0.68,0.04,0.0,0.01,0.73
BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01,0.59
Carnival,2600,1981,Shooter,Coleco,0.32,0.02,0.0,0.0,0.34
Centipede,2600,1981,Shooter,Atari,1.26,0.08,0.0,0.01,1.36
Cosmic Ark,2600,1981,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05
Crazy Climber,2600,1981,Action,Atari,0.21,0.01,0.0,0.0,0.22
Custer's Revenge,2600,1981,Action,Mystique,0.76,0.05,0.0,0.01,0.82
Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.22,0.01,0.0,0.0,0.24
Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0.0,0.0,0.22
Demon Attack,2600,1981,Shooter,Imagic,1.99,0.12,0.0,0.02,2.13
Donkey Kong,2600,1981,Platform,Coleco,1.36,0.08,0.0,0.02,1.46
Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0.0,0.01,0.97
Dragonfire,2600,1981,Action,Imagic,0.35,0.02,0.0,0.0,0.37
E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0.0,0.02,1.97
Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34
Fast Food,2600,1981,Action,Unknown,0.27,0.02,0.0,0.0,0.29
Fireball,2600,1981,Action,Starpath Corp.,0.3,0.02,0.0,0.0,0.33
Frogger,2600,1981,Action,Parker Bros.,2.06,0.12,0.0,0.02,2.2
Frogs And Flies,2600,1981,Action,Mattel Interactive,0.33,0.02,0.0,0.0,0.36
Front Line,2600,1981,Action,Taito,0.22,0.01,0.0,0.0,0.24
Grand Prix,2600,1981,Racing,Activision,0.45,0.03,0.0,0.0,0.48
International Soccer,2600,1981,Sports,Mattel Interactive,0.18,0.01,0.0,0.0,0.19
Jawbreaker,2600,1981,Action,Tigervision,0.42,0.03,0.0,0.0,0.45
King Kong,2600,1981,Action,Tigervision,0.65,0.04,0.0,0.01,0.69
Laser Blast,2600,1981,Action,Activision,0.37,0.02,0.0,0.0,0.39
Megamania,2600,1981,Shooter,Activision,1.03,0.06,0.0,0.01,1.1
Mouse Trap,2600,1981,Action,Coleco,0.38,0.02,0.0,0.0,0.4
Ms. Pac-Man,2600,1981,Puzzle,Atari,1.54,0.1,0.0,0.02,1.65
Phoenix,2600,1981,Simulation,Atari,0.42,0.02,0.0,0.0,0.45
Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0.0,0.05,4.5
Raiders of the Lost Ark,2600,1981,Action,Atari,0.46,0.03,0.0,0.01,0.5
Reactor,2600,1981,Action,Parker Bros.,0.21,0.01,0.0,0.0,0.22
RealSports Baseball,2600,1981,Sports,Atari,0.2,0.01,0.0,0.0,0.21
RealSports Football,2600,1981,Sports,Atari,0.24,0.01,0.0,0.0,0.26
RealSports Volleyball,2600,1981,Sports,Atari,0.12,0.01,0.0,0.0,0.13
River Raid,2600,1981,Shooter,Activision,1.49,0.09,0.0,0.02,1.6
Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.55,0.03,0.0,0.01,0.59
Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93
Action Force,2600,1982,Action,CPG Products,0.5,0.03,0.0,0.01,0.54
