ano;nivel_federativo;poder;faixa;percentual
2019;Estadual;Executivo;< 2,5;0,3187408581530148
2019;Estadual;Executivo;2,5 - 5;0,353827296460696
2019;Estadual;Executivo;5 - 7,5;0,16965138357744833
2019;Estadual;Executivo;7,5 - 10;0,07393356245628731
2019;Estadual;Executivo;10 - 12,5;0,03250449507595233
2019;Estadual;Executivo;12,5 - 15;0,017769367363061176
2019;Estadual;Executivo;15 - 17,5;0,01049307408432793
2019;Estadual;Executivo;17,5 - 20;0,0069095207720003505
2019;Estadual;Executivo;20 - 22,5;0,004202503044887884
2019;Estadual;Executivo;22,5 - 25;0,004697392399594758
2019;Estadual;Executivo;25 - 27,5;0,002993336909787823
2019;Estadual;Executivo;27,5 - 30;0,00187037076474941
2019;Estadual;Executivo;> 30;0,0024068389381919028
2019;Federal;Executivo;< 2,5;0,09657276323942991
2019;Federal;Executivo;2,5 - 5;0,20342962009628676
2019;Federal;Executivo;5 - 7,5;0,21690473542325395
2019;Federal;Executivo;7,5 - 10;0,1352569500717649
2019;Federal;Executivo;10 - 12,5;0,09365052883571402
2019;Federal;Executivo;12,5 - 15;0,06827859605637383
2019;Federal;Executivo;15 - 17,5;0,04131909687465243
2019;Federal;Executivo;17,5 - 20;0,05484717521754559
2019;Federal;Executivo;20 - 22,5;0,02983009464490946
2019;Federal;Executivo;22,5 - 25;0,01555523777746
2019;Federal;Executivo;25 - 27,5;0,009569092902426236
2019;Federal;Executivo;27,5 - 30;0,015285126396237508
2019;Federal;Executivo;> 30;0,019500982463945427
2019;Municipal;Executivo;< 2,5;0,5812851119254823
2019;Municipal;Executivo;2,5 - 5;0,28972898451898177
2019;Municipal;Executivo;5 - 7,5;0,0777701900937373
2019;Municipal;Executivo;7,5 - 10;0,026459039939843568
2019;Municipal;Executivo;10 - 12,5;0,011306857975202613
2019;Municipal;Executivo;12,5 - 15;0,005524284517382912
2019;Municipal;Executivo;15 - 17,5;0,003220782320443446
2019;Municipal;Executivo;17,5 - 20;0,0018886245561740534
2019;Municipal;Executivo;20 - 22,5;0,001056561651691018
2019;Municipal;Executivo;22,5 - 25;0,0007455270437751129
2019;Municipal;Executivo;25 - 27,5;0,00042031703772419586
2019;Municipal;Executivo;27,5 - 30;0,0002887825294481534
2019;Municipal;Executivo;> 30;0,0003049358901136323
2019;Estadual;Judiciario;< 2,5;0,03475908509261467
2019;Estadual;Judiciario;2,5 - 5;0,11823635594003766
2019;Estadual;Judiciario;5 - 7,5;0,24626695016275074
2019;Estadual;Judiciario;7,5 - 10;0,21468989777598296
2019;Estadual;Judiciario;10 - 12,5;0,1304000895250792
2019;Estadual;Judiciario;12,5 - 15;0,09119394343377334
2019;Estadual;Judiciario;15 - 17,5;0,05164234730865231
2019;Estadual;Judiciario;17,5 - 20;0,03306102788414287
2019;Estadual;Judiciario;20 - 22,5;0,02012854633652672
2019;Estadual;Judiciario;22,5 - 25;0,013900714740985457
2019;Estadual;Judiciario;25 - 27,5;0,010236998185170949
2019;Estadual;Judiciario;27,5 - 30;0,009881817164487737
2019;Estadual;Judiciario;> 30;0,025602226449795405
2019;Federal;Judiciario;< 2,5;0,06311382901235062
2019;Federal;Judiciario;2,5 - 5;0,01885810794585898
2019;Federal;Judiciario;5 - 7,5;0,01038956880888156
2019;Federal;Judiciario;7,5 - 10;0,06874084509296984
2019;Federal;Judiciario;10 - 12,5;0,15593958361681862
2019;Federal;Judiciario;12,5 - 15;0,1952246404072583
2019;Federal;Judiciario;15 - 17,5;0,14512578742205823
2019;Federal;Judiciario;17,5 - 20;0,11314864767515388
2019;Federal;Judiciario;20 - 22,5;0,09609150504670504
2019;Federal;Judiciario;22,5 - 25;0,06490679003946115
2019;Federal;Judiciario;25 - 27,5;0,03713990699014672
2019;Federal;Judiciario;27,5 - 30;0,01790559740020651
2019;Federal;Judiciario;> 30;0,013415190542130582
2019;Estadual;Legislativo;< 2,5;0,2664366962435993
2019;Estadual;Legislativo;2,5 - 5;0,23973927999061878
2019;Estadual;Legislativo;5 - 7,5;0,14514521361841848
2019;Estadual;Legislativo;7,5 - 10;0,08645389516475785
2019;Estadual;Legislativo;10 - 12,5;0,05868154633936599
2019;Estadual;Legislativo;12,5 - 15;0,04599734198491186
2019;Estadual;Legislativo;15 - 17,5;0,03948911386467576
2019;Estadual;Legislativo;17,5 - 20;0,03551186334675371
2019;Estadual;Legislativo;20 - 22,5;0,022036117734433022
2019;Estadual;Legislativo;22,5 - 25;0,016856897158269164
2019;Estadual;Legislativo;25 - 27,5;0,01646601258648321
2019;Estadual;Legislativo;27,5 - 30;0,011755853496462495
2019;Estadual;Legislativo;> 30;0,015430168471250439
2019;Federal;Legislativo;< 2,5;0,1964960167581807
2019;Federal;Legislativo;2,5 - 5;0,24343796616624877
2019;Federal;Legislativo;5 - 7,5;0,15345796172279175
2019;Federal;Legislativo;7,5 - 10;0,09045608912305202
2019;Federal;Legislativo;10 - 12,5;0,056146253213571584
2019;Federal;Legislativo;12,5 - 15;0,04652934268575237
2019;Federal;Legislativo;15 - 17,5;0,05392452470879487
2019;Federal;Legislativo;17,5 - 20;0,01872599739740375
2019;Federal;Legislativo;20 - 22,5;0,019043387183800425
2019;Federal;Legislativo;22,5 - 25;0,025105532103976893
2019;Federal;Legislativo;25 - 27,5;0,024121623766147206
2019;Federal;Legislativo;27,5 - 30;0,030152029707684005
2019;Federal;Legislativo;> 30;0,04240327546259561
2019;Municipal;Legislativo;< 2,5;0,46401213255461266
2019;Municipal;Legislativo;2,5 - 5;0,2782872446839405
2019;Municipal;Legislativo;5 - 7,5;0,11751153560711174
2019;Municipal;Legislativo;7,5 - 10;0,06076602884708464
2019;Municipal;Legislativo;10 - 12,5;0,027182085121486885
2019;Municipal;Legislativo;12,5 - 15;0,01741796005291859
2019;Municipal;Legislativo;15 - 17,5;0,011358136233099933
2019;Municipal;Legislativo;17,5 - 20;0,006427672550095189
2019;Municipal;Legislativo;20 - 22,5;0,004840114872059631
2019;Municipal;Legislativo;22,5 - 25;0,005414475170210706
2019;Municipal;Legislativo;25 - 27,5;0,0024394178955180535
2019;Municipal;Legislativo;27,5 - 30;0,0018392436513826596
2019;Municipal;Legislativo;> 30;0,0025039527604788486
2018;Estadual;Executivo;< 2,5;0,32752666541002917
2018;Estadual;Executivo;2,5 - 5;0,3549650995074472
2018;Estadual;Executivo;5 - 7,5;0,1682190619958582
