MUNICÍPIO;UF
Guajará-Mirim;RO
Alto Alegre dos Parecis;RO
Porto Velho;RO
Buritis;RO
Ji-Paraná;RO
Chupinguaia;RO
Ariquemes;RO
Cujubim;RO
Cacoal;RO
Nova União;RO
Pimenta Bueno;RO
Parecis;RO
Vilhena;RO
Pimenteiras do Oeste;RO
Jaru;RO
Primavera de Rondônia;RO
Ouro Preto do Oeste;RO
São Felipe D'Oeste;RO
Presidente Médici;RO
São Francisco do Guaporé;RO
Costa Marques;RO
Teixeirópolis;RO
Colorado do Oeste;RO
Vale do Anari;RO
Espigão D'Oeste;RO
Amajari;RR
Cerejeiras;RO
Cantá;RR
Rolim de Moura;RO
Caroebe;RR
Caldazinha;GO
Iracema;RR
Alta Floresta D'Oeste;RO
Pacaraima;RR
Alvorada D'Oeste;RO
Rorainópolis;RR
Cabixi;RO
Uiramutã;RR
Machadinho D'Oeste;RO
Anapu;PA
Nova Brasilândia D'Oeste;RO
Bannach;PA
Santa Luzia D'Oeste;RO
Belterra;PA
São Miguel do Guaporé;RO
Cachoeira do Piriá;PA
Nova Mamoré;RO
Canaã dos Carajás;PA
Jesúpolis;GO
Curuá;PA
Professor Jamil;GO
Floresta do Araguaia;PA
Santo Antônio de Goiás;GO
Marituba;PA
Cocalzinho de Goiás;GO
Nova Ipixuna;PA
Terezópolis de Goiás;GO
Piçarra;PA
Uirapuru;GO
Placas;PA
Buritinópolis;GO
Quatipuru;PA
Buriti de Goiás;GO
São João da Ponta;PA
Guaraíta;GO
Sapucaia;PA
Vila Boa;GO
Tracuateua;PA
Inaciolândia;GO
Vitória do Jari;AP
Aparecida do Rio Doce;GO
Aguiarnópolis;TO
Chapadão do Céu;GO
Bandeirantes do Tocantins;TO
Perolândia;GO
Barra do Ouro;TO
Cidade Ocidental;GO
Chapada de Areia;TO
Montividiu do Norte;GO
Chapada da Natividade;TO
Castelândia;GO
Crixás do Tocantins;TO
Santo Antônio da Barra;GO
Ipueiras;TO
Alto Horizonte;GO
Lavandeira;TO
Nova Iguaçu de Goiás;GO
Luzinópolis;TO
Cotriguaçu;MT
Monte Santo do Tocantins;TO
Planalto da Serra;MT
Oliveira de Fátima;TO
São Pedro da Cipa;MT
Pugmil;TO
Pontal do Araguaia;MT
Santa Rita do Tocantins;TO
Querência;MT
Santa Terezinha do Tocantins;TO
Ribeirãozinho;MT
Talismã;TO
Porto Estrela;MT
Tupirama;TO
Nova Marilândia;MT
Água Doce do Maranhão;MA
Brasiléia;AC
Alto Alegre do Maranhão;MA
Cruzeiro do Sul;AC
Alto Alegre do Pindaré;MA
Mâncio Lima;AC
Amapá do Maranhão;MA
Nova Maringá;MT
Apicum-Açu;MA
Feijó;AC
Araguanã;MA
Santo Afonso;MT
Bacabeira;MA
Nova Bandeirantes;MT
Bacurituba;MA
Nova Monte Verde;MT
Belágua;MA
Nova Guarita;MT
Bela Vista do Maranhão;MA
Santa Carmem;MT
Bernardo do Mearim;MA
Tabaporã;MT
Boa Vista do Gurupi;MA
Alto Boa Vista;MT
Bom Jesus das Selvas;MA
Canabrava do Norte;MT
Bom Lugar;MA
Confresa;MT
Brejo de Areia;MA
São José do Xingu;MT
Buriticupu;MA
Glória D'Oeste;MT
Buritirana;MA
Lambari D'Oeste;MT
Cachoeira Grande;MA
Rio Branco;AC
Campestre do Maranhão;MA
Alcinópolis;MS
Capinzal do Norte;MA
Nova Alvorada do Sul;MS
Central do Maranhão;MA
Sena Madureira;AC
Centro do Guilherme;MA
Tarauacá;AC
Centro Novo do Maranhão;MA
Xapuri;AC
Cidelândia;MA
Plácido de Castro;AC
Conceição do Lago-Açu;MA
Senador Guiomard;AC
Davinópolis;MA
Manoel Urbano;AC
Feira Nova do Maranhão;MA
Assis Brasil;AC
Fernando Falcão;MA
Novo Horizonte do Sul;MS
Formosa da Serra Negra;MA
Japorã;MS
Governador Edison Lobão;MA
Laguna Carapã;MS
Governador Luiz Rocha;MA
Angico;TO
Governador Newton Bello;MA
Aragominas;TO
Governador Nunes Freire;MA
Araguanã;TO
Igarapé do Meio;MA
Cachoeirinha;TO
Itaipava do Grajaú;MA
Campos Lindos;TO
Itinga do Maranhão;MA
Carmolândia;TO
Jatobá;MA
Carrasco Bonito;TO
Jenipapo dos Vieiras;MA
Darcinópolis;TO
Junco do Maranhão;MA
Esperantina;TO
Lagoa do Mato;MA
Maurilândia do Tocantins;TO
Lago dos Rodrigues;MA
Palmeiras do Tocantins;TO
Lagoa Grande do Maranhão;MA
Muricilândia;TO
Lajeado Novo;MA
Palmeirante;TO
Maracaçumé;MA
Pau D'Arco;TO
Marajá do Sena;MA
Riachinho;TO
Maranhãozinho;MA
Santa Fé do Araguaia;TO
Matões do Norte;MA
São Bento do Tocantins;TO
Milagres do Maranhão;MA
São Miguel do Tocantins;TO
Nova Colinas;MA
Novo Airão;AM
Nova Olinda do Maranhão;MA
Anori;AM
Olinda Nova do Maranhão;MA
Atalaia do Norte;AM
Paulino Neves;MA
Autazes;AM
Pedro do Rosário;MA
Barcelos;AM
Peritoró;MA
Barreirinha;AM
Porto Rico do Maranhão;MA
Benjamin Constant;AM
Presidente Médici;MA
Boca do Acre;AM
Presidente Sarney;MA
Borba;AM
Raposa;MA
Canutama;AM
Ribamar Fiquene;MA
Carauari;AM
Santa Filomena do Maranhão;MA
Careiro;AM
Santana do Maranhão;MA
Coari;AM
Santo Amaro do Maranhão;MA
Codajás;AM
São Domingos do Azeitão;MA
Eirunepé;AM
São Francisco do Brejão;MA
Envira;AM
São João do Carú;MA
Fonte Boa;AM
São João do Paraíso;MA
Humaitá;AM
São João do Soter;MA
Santa Isabel do Rio Negro;AM
São José dos Basílios;MA
Ipixuna;AM
São Pedro da Água Branca;MA
Itacoatiara;AM
São Pedro dos Crentes;MA
Itapiranga;AM
São Raimundo do Doca Bezerra;MA
Japurá;AM
São Roberto;MA
Juruá;AM
Satubinha;MA
Jutaí;AM
Senador Alexandre Costa;MA
Lábrea;AM
Senador La Rocque;MA
Manacapuru;AM
Serrano do Maranhão;MA
Manaus;AM
Sucupira do Riachão;MA
Manicoré;AM
Trizidela do Vale;MA
Maraã;AM
Tufilândia;MA
Maués;AM
Turilândia;MA
Nhamundá;AM
Vila Nova dos Martírios;MA
Nova Olinda do Norte;AM
Acauã;PI
Novo Aripuanã;AM
Alvorada do Gurguéia;PI
Parintins;AM
Assunção do Piauí;PI
Pauini;AM
Barra D'Alcântara;PI
Santo Antônio do Içá;AM
Bela Vista do Piauí;PI
São Paulo de Olivença;AM
Belém do Piauí;PI
Silves;AM
Betânia do Piauí;PI
Tapauá;AM
Boa Hora;PI
Tefé;AM
Boqueirão do Piauí;PI
São Gabriel da Cachoeira;AM
Brejo do Piauí;PI
Urucará;AM
Cajazeiras do Piauí;PI
Urucurituba;AM
Cajueiro da Praia;PI
Alvarães;AM
